"INTERNAL_ID","VETTING_LEVEL","DESCRIPTION","VETTING_LEVEL_PREDICTION","ALGORITHM_NAME","NAME","GENDER","BIRTH_DATE","BIRTH_COUNTRY","BIRTH_COUNTRY_CODE","OCCUPATION","ADDRESS","SSN","PASSPORT_NUMBER","PASSPORT_COUNTRY","PASSPORT_COUNTRY_CODE","COUNTRIES_VISITED","COUNTRIES_VISITED_COUNT","ARRIVAL_AIRPORT_COUNTRY_CODE","ARRIVAL_AIRPORT_IATA","ARRIVAL_AIRPORT_MUNICIPALITY","ARRIVAL_AIRPORT_REGION","DEPARTURE_AIRPORT_COUNTRY_CODE","DEPARTURE_AIRPORT_IATA","DEPARTURE_AIRPORT_MUNICIPALITY","DEPARTURE_AIRPORT_REGION","UUID","AGE"
"304",10,NA,30,"DECISION_TREE","Jennifer Cassie May","F",1974-01-26,"Brazil","BR","Television camera operator","739 Harvey Prairie, New York City, New York 10160","873-54-9280",783275249,"Brazil","BR","KZ,RS,UZ,BR,CU,BY,EC,PH,NG,VN",10,"US","VPS","Valparaiso","US-FL","KZ","KGF","Karaganda","KZ-KAR","c48adc18-90fe-477e-b542-ce370a4f927f",43
"305",10,NA,30,"DECISION_TREE","Jennifer Cruz","F",2002-01-18,"Ghana","GH","Civil engineer, consulting","4890 Farrell Path, Ralston, Oklahoma 74650","699-27-9340",403317120,"Ghana","GH","AM,EC,KH,RU,HU,PH",6,"US","DEN","Denver","US-CO","AM","EVN","Yerevan","AM-ER","0d2ae24d-df5e-48c3-8f79-122bcfb97156",15
"306",100,NA,30,"DECISION_TREE","Rebecc Chrissie Maxwell","F",1976-12-17,"Ghana","GH","Editor, commissioning","928 Kelly Run Apt. 366, Munger, Michigan 48747","390-17-5341",69331870,"Ghana","GH","HR,SK,UZ,ES,GH,PL",6,"US","LBB","Lubbock","US-TX","HR","ZAG","Zagreb","HR-21","5d4afafd-06ac-4655-8664-b753a74c3f0c",40
"307",100,NA,30,"DECISION_TREE","Beth Carrie Thomas","F",1976-11-15,"Ghana","GH","Education administrator","0826 Jennifer Alley, Young America, Minnesota 55753","045-98-5763",710876738,"Ghana","GH","RU",1,"US","LIT","Little Rock","US-AR","RU","KJA","Krasnoyarsk","RU-KYA","73f5b60f-d94e-43be-b628-206646106aa5",40
"308",30,NA,30,"DECISION_TREE","Ray Whitney Richardson","F",1998-07-18,"Ghana","GH","Conservator, museum/gallery","65831 Munoz Cove, Vincent, Iowa 50594","319-12-7882",633621298,"Ghana","GH","RU",1,"US","LUF","Glendale","US-AZ","RU","CKL","Moscow","RU-MOS","98410951-5889-4ee6-95ba-2fcc95862e8c",18
"309",100,NA,30,"DECISION_TREE","Vicki Shelle Odom","F",1987-11-06,"Ghana","GH","Engineer, technical sales","05039 Samuel Path, Suffolk, Virginia 32439","139-98-7379",821826296,"Ghana","GH","QA,JP",2,"US","PHL","Philadelphia","US-PA","QA","DOH","Doha","QA-DA","2fa0e5d9-19a7-46ac-b0cd-c122d35cfaf4",29
"310",100,NA,30,"DECISION_TREE","Ammi Mccoy","F",1979-09-10,"Ghana","GH","Animator","253 Schneider Mountain Suite 280, Big Rock, Illinois 60511","158-66-4393",198257137,"Ghana","GH","SD,IL,PT,LV,RO,DO,AU,AE,MY,AL,NO",11,"US","OKC","Oklahoma City","US-OK","SD","KRT","Khartoum","SD-03","3cac3ca7-8a59-4ec6-8bd4-e07765955cbd",37
"311",30,NA,30,"DECISION_TREE","Amber Smith","F",1995-11-04,"Brazil","BR","Estate manager/land agent","543 James Groves Apt. 976, El Cajon, California 92021","196-17-6254",978719946,"Brazil","BR","AE",1,"US","RFD","Chicago/Rockford","US-IL","AE","SHJ","Sharjah","AE-SH","5c99cb09-ea2d-4c4f-8d52-3a3b9928d151",21
"312",100,NA,30,"DECISION_TREE","Toni Jul Miller","F",1981-04-08,"Ghana","GH","Animal technologist","753 Evan Fields, Pleasant Valley, Virginia 22848","577-84-6609",383304304,"Ghana","GH","AE,KY",2,"US","SFO","San Francisco","US-CA","AE","SHJ","Sharjah","AE-SH","e0c1f38d-14ef-44b8-8da5-820a834a0840",35
"313",100,NA,30,"DECISION_TREE","Rebekah Whitehead","F",1987-09-28,"Ghana","GH","Educational psychologist","019 Stacey Coves, New Ross, Indiana 47968","439-37-6541",674433200,"Ghana","GH","AE",1,"US","AVL","Asheville","US-NC","AE","SHJ","Sharjah","AE-SH","ede37c1a-8b56-48fe-9db9-4ec71a3792cd",29
"314",100,NA,30,"DECISION_TREE","Heather Steffey Fox","F",1982-12-14,"Ghana","GH","Designer, ceramics/pottery","5376 Stacey Burgs Suite 883, Niagra Falls, Newyork 13404","116-38-7623",30866325,"Ghana","GH","QA,LY",2,"US","HTS","Huntington","US-WV","QA","DOH","Doha","QA-DA","86ad553e-a706-4a96-97eb-cfa17f825df9",34
"315",100,NA,30,"DECISION_TREE","Jennifer White","F",1993-07-26,"Ghana","GH","Higher education careers adviser","94961 Luis Inlet, Mansfield Depot, Connecticut 06251","511-94-5821",561090640,"Ghana","GH","TH,UZ",2,"US","OAK","Oakland","US-CA","TH","DMK","Bangkok","TH-10","742a916b-1ef7-4e66-9a5a-ed78678df707",23
"316",20,NA,30,"DECISION_TREE","Paula Jimenez","F",2000-01-17,"Ghana","GH","Electronics engineer","3750 Maxwell Mount, Shedd, Oregon 97377","018-05-3367",196259211,"Ghana","GH","OM",1,"US","ABQ","Albuquerque","US-NM","OM","JNJ","Duqm","OM-WU","f3ebb47f-df45-4de5-a971-dd34e0ee2a99",17
"317",100,NA,30,"DECISION_TREE","Kellye Anny Mcknight","F",1974-12-20,"Ghana","GH","Learning disability nurse","4369 Erica Isle, Gillsville, Georgea 03543","632-59-4480",149857466,"Ghana","GH","KE,EG,SK,HK,TN,DK,AE",7,"US","PDX","Portland","US-OR","KE","MBA","Mombasa","KE-300","01139eeb-a0c6-47e4-a650-e77131e7fac8",42
"318",100,NA,30,"DECISION_TREE","Maria Howard","F",1985-12-11,"Ghana","GH","Paediatric nurse","5610 Jessica Plaza, Orange, Massachusetts 01364","872-10-8310",53923725,"Ghana","GH","AE,DO,AZ,CA,KH,GE,KW,CL",8,"US","LAX","Los Angeles","US-CA","AE","SHJ","Sharjah","AE-SH","c0bbe85a-2ab5-47ca-8319-9bd20c9f95bc",31
"319",30,NA,30,"DECISION_TREE","Candi Diana Lynch","F",1997-04-14,"Ghana","GH","Scientist, clinical (histocompatibility and immunogenetics)","796 Gregory Island Suite 785, Charleston, West Virgnia 25305","668-05-6460",461386618,"Ghana","GH","RU",1,"US","TUL","Tulsa","US-OK","RU","VKO","Moscow","RU-MOS","94f07c82-e9e9-4fb8-9aa2-980e8021278d",19
"320",100,NA,30,"DECISION_TREE","Genny Ho","F",1995-05-29,"Ghana","GH","Engineer, manufacturing systems","38809 Julie Key, Saint Louis, Missouri 63105","898-97-5436",300639318,"Ghana","GH","QA",1,"US","ANC","Anchorage","US-AK","QA","DOH","Doha","QA-DA","3c354e2e-9316-4299-985b-8acbe16bee3b",21
"321",100,NA,30,"DECISION_TREE","Nancy Meghan Davenport","F",1984-01-11,"Ghana","GH","Nurse, learning disability","057 Brian Trafficway Apt. 481, Vincent, Ohio 45784","052-62-1774",857435507,"Ghana","GH","AE,CO,JP,VN,LV,AT,KH",7,"US","PAM","Panama City","US-FL","AE","DXB","Dubai","AE-DU","f6feb391-1fa6-4c77-9f05-6a11f3d04651",33
"322",100,NA,30,"DECISION_TREE","Monica Wheeler","F",1975-02-01,"Ghana","GH","Magazine journalist","4900 Jay Vly Ste 414, Michigan, Northdakota 58295","149-41-0177",924074041,"Ghana","GH","SA,OM,LK",3,"US","DFW","Dallas-Fort Worth","US-TX","SA","MED","Medina","SA-03","e1f5a655-4875-452e-a040-537b7a7cde4a",42
"323",100,NA,30,"DECISION_TREE","Maureen Yola Jones","F",1994-05-27,"Ghana","GH","Product/process development scientist","0947 John Place Suite 853, Bellevue, Nebrascka 68123","101-04-5114",78540469,"Ghana","GH","OM",1,"US","OKC","Oklahoma City","US-OK","OM","JNJ","Duqm","OM-WU","6fa46219-3a95-4c12-9b27-3116041ceb26",22
"324",100,NA,30,"DECISION_TREE","Missy Laur Oneal","F",1979-10-22,"Ghana","GH","Electronics engineer","39432 Blake Run, Chaseburg, None 54621","775-85-9925",922356476,"Ghana","GH","OM",1,"US","AUS","Austin","US-TX","OM","JNJ","Duqm","OM-WU","1d7564f0-a930-4a7c-8d32-51511866c82a",37
"325",30,NA,30,"DECISION_TREE","Christee Miller","F",2000-09-04,"Ghana","GH","Site engineer","049 Frank Circles Suite 908, Crabtree, Pennsylvania 15624","225-61-4766",360005273,"Ghana","GH","AE",1,"US","MCI","Kansas City","US-MO","AE","DXB","Dubai","AE-DU","0de77f23-110c-4b81-9ed2-b75a90215b80",16
"326",30,NA,30,"DECISION_TREE","Joy Rhonda Cook","F",1999-02-18,"Ghana","GH","Special effects artist","75256 Chapman Gln, Woodbine, Kentucky 47071","134-01-7318",508995015,"Ghana","GH","NL,OM,FR,UZ",4,"US","JFK","New York","US-NY","NL","EIN","Eindhoven","NL-NB","dd4dadd7-22d8-412c-97c4-1c4ae1a69053",18
"327",100,NA,30,"DECISION_TREE","Samantha Michele Morrison","F",1985-03-26,"Ghana","GH","Quality manager","7523 Edwards Plains, Appleton, Newyork 14008","419-82-4307",578855577,"Ghana","GH","RU,CZ",2,"US","MIA","Miami","US-FL","RU","GRV","Grozny","RU-CE","8e20a69c-a0bd-40ab-b493-a0b358910055",31
"328",100,NA,30,"DECISION_TREE","Brianna Kim Williams","F",1971-02-10,"Ghana","GH","Clinical embryologist","06235 John Harbors Apt. 455, Mifflintown, Pennsylvania 17059","830-09-0708",622014024,"Ghana","GH","AE,RS,EE",3,"US","TPA","Tampa","US-FL","AE","AUH","Abu Dhabi","AE-AZ","e1032224-093f-4616-8010-4c9d4f7174a7",46
"329",100,NA,30,"DECISION_TREE","Brittney Jacqueline Silva","F",1975-09-13,"Ghana","GH","Estate manager/land agent","7595 Charles Trak Ste 658, Dixie, West Virginia 25059","155-25-8942",77950130,"Ghana","GH","AE,DO",2,"US","LAS","Las Vegas","US-NV","AE","AUH","Abu Dhabi","AE-AZ","55e28c3c-b4d2-46e8-8493-beddc7ce046d",41
"330",30,NA,30,"DECISION_TREE","Angela Sonya Vincent","F",1997-05-22,"Brazil","BR","Scientist, water quality","32791 Robert Row, Morrisville, Missouri 65710","333-36-7022",198755460,"Brazil","BR","AE,FI,KR",3,"US","VPS","Valparaiso","US-FL","AE","SHJ","Sharjah","AE-SH","fe02aff1-faa9-4334-8dd7-5f71e2e86803",19
"331",100,NA,30,"DECISION_TREE","Maria Davenport","F",1985-08-10,"Ghana","GH","Politician's assistant","1092 Kenneth Route, South Elgen, Illanoise 60177","614-49-1490",967843429,"Ghana","GH","ES,SD,QA",3,"US","DTW","Detroit","US-MI","ES","BCN","Barcelona","ES-CT","44885253-f200-4524-ad26-218221c428f0",31
"332",100,NA,30,"DECISION_TREE","Cheryl Cind Lara","F",1994-03-03,"Ghana","GH","Chiropodist","63589 Mcdaniel Port, El Cajon, California 29021","843-92-7552",665662453,"Ghana","GH","AE,PT,BS,PG",4,"US","LCK","Columbus","US-OH","AE","SHJ","Sharjah","AE-SH","a7a951ca-681f-4067-9d24-dd4bf98f0afb",23
"333",100,NA,30,"DECISION_TREE","Allison Martinez","F",1989-03-27,"Ghana","GH","Geochemist","6762 Miller Shoals, Batesburg, South Carolina 29006","253-17-8695",849093756,"Ghana","GH","ID,KE,NG,TW,OM,ME,TH,PG,HK,CA,AT,CZ",12,"US","MCI","Kansas City","US-MO","ID","DPS","Denpasar-Bali Island","ID-BA","b5c8505b-5c16-4e11-a2d4-985bfa4bc4e7",27
"334",100,NA,30,"DECISION_TREE","Kayla Robinson","F",1981-12-20,"Ghana","GH","Accommodation manager","580 Robert Dale Apt. 141, Brooklyn, New York 11255","974-55-8173",28737806,"Ghana","GH","LB,EG,HK,QA,PK",5,"US","IAH","Houston","US-TX","LB","BEY","Beirut","LB-JL","bd9f2f01-3c8b-4abc-a43b-12558b415330",35
"335",30,NA,30,"DECISION_TREE","Carrie Daisy Miller","F",1997-03-11,"Ghana","GH","Accounting technician","6607 Watson Trail Suite 282, Umatilla, Oregon 97882","890-85-1188",284668966,"Ghana","GH","EG,AR,PA,DZ,RU,RU,AL",7,"US","SJC","San Jose","US-CA","EG","HRG","Hurghada","EG-BA","46c4f998-da12-4bbe-b6cc-5f8d983efbc6",20
"336",100,NA,30,"DECISION_TREE","Adriana Meridie Reynolds","F",1984-01-04,"Ghana","GH","Intelligence analyst","9836 Dudley Tunnel, Breaks, Virginia 24607","774-26-6942",101969947,"Ghana","GH","BY,SI,TN,PG,UA,KW,NG,RU,KR,BA,KW",11,"US","CAE","Columbia","US-SC","BY","MSQ","Minsk","BY-MI","e837d709-3d9e-4e81-94c4-b98b92f6979c",33
"337",100,NA,30,"DECISION_TREE","Brooke King","F",1970-05-22,"Ghana","GH","Special effects artist","1198 Craig Green, Unity, Oregon 97884","141-46-6328",166077088,"Ghana","GH","OM,SK,AL",3,"US","AUS","Austin","US-TX","OM","MCT","Muscat","OM-MA","bc944b4c-adc6-484c-843e-28bbc15ced62",46
"338",100,NA,30,"DECISION_TREE","Meghan Moses","F",1994-08-27,"Ghana","GH","Forest/woodland manager","770 Whitney Est Apt. 964, Evansville, Indiana 47743","395-82-6068",308561300,"Ghana","GH","QA",1,"US","ROC","Rochester","US-NY","QA","DOH","Doha","QA-DA","88b7a2e4-3bca-41a3-b79f-3b96fe94b535",22
"339",30,NA,30,"DECISION_TREE","Trace Carr","F",2001-11-30,"Ghana","GH","Clinical scientist, histocompatibility and immunogenetics","624 Darren Lks, Huxley, Iowha 50124","600-46-7639",987374355,"Ghana","GH","QA",1,"US","SEA","Seattle","US-WA","QA","DOH","Doha","QA-DA","1873540c-ac53-496a-9372-c6d7210ef308",15
"340",100,NA,30,"DECISION_TREE","Ami Casey Woods","F",1983-11-05,"Ghana","GH","Cartographer","15789 Olsen Nck Apt. 885, Torbert, Louiseiana 70781","800-46-1520",426221095,"Ghana","GH","ME,EE,KY,DZ,CZ,ID,NL,QA,BS,CK",10,"US","FWA","Fort Wayne","US-IN","ME","TGD","Podgorica","ME-16","256ebce1-15c4-498c-9f8b-dfa42827bd02",33
"341",30,NA,30,"DECISION_TREE","Melinda Kimm Hubbard","F",1980-01-16,"Brazil","BR","Agricultural engineer","48909 Oneill Heights, Marland, Oklahoma 74644","157-58-6078",869842380,"Brazil","BR","IL,VN,UZ",3,"US","FSM","Fort Smith","US-AR","IL","VDA","Eilat","IL-D","e7e3b8be-0879-45bb-85ef-9268153a0436",37
"342",10,NA,30,"DECISION_TREE","Linda Tucker","F",1995-01-14,"Brazil","BR","Translator","69539 Fisher Mews Apt. 538, Oyster Bay, New York 11771","168-42-4190",473389048,"Brazil","BR","ES,JO,LT,CL,QA,PA",6,"US","FFO","Dayton","US-OH","ES","TFS","Tenerife Island","ES-CN","19eee3b2-7540-450a-9ef9-aea0924fe4e1",22
"343",100,NA,30,"DECISION_TREE","Tamara Palmer","F",1987-05-01,"Ghana","GH","Race relations officer","89619 Julie Center, Hathaway Pines, California 95233","387-51-9501",217560040,"Ghana","GH","HR,BS,BG,AT,DK,AL,AL,OM,TN,LU,SI,IN",12,"US","BLV","Belleville","US-IL","HR","ZAG","Zagreb","HR-21","d9d3715f-a02e-45dc-8662-389a1bdc518c",29
"344",30,NA,30,"DECISION_TREE","Brandy Scott","F",1999-08-09,"Ghana","GH","Field trials officer","6235 Charles Via, Indianapolis, None 46236","896-58-3773",942939007,"Ghana","GH","OM,CK,BH,CK,TW,IQ,TN",7,"US","PAM","Panama City","US-FL","OM","MCT","Muscat","OM-MA","43d6450e-8537-45c2-b3a2-9025c9eeace9",17
"345",100,NA,30,"DECISION_TREE","Nann Steffi Williamson","F",2001-06-07,"Ghana","GH","Holiday representative","919 Heather Well, Roanoke, Virginia 24024","736-70-6658",768902471,"Ghana","GH","JP,RU,CO,CU,TR,TR",6,"US","RNO","Reno","US-NV","JP","OKO","Fussa","JP-13","852adbca-110d-49b3-ae85-a34ac554b197",15
"346",30,NA,30,"DECISION_TREE","Jesie Molly Stafford","F",1970-05-02,"Bangladesh","BD","Pathologist","340 Perry Branch, Williams, Oregon 97544","689-44-0669",730613975,"Bangladesh","BD","JP,SN,SK,OM",4,"US","PHX","Phoenix","US-AZ","JP","HND","Tokyo","JP-13","cdf47512-6fd8-4db8-a372-dbbcee02447b",46
"347",100,NA,30,"DECISION_TREE","Elizabeth Ronnie Morris","F",1995-05-07,"Ghana","GH","Surgeon","71151 Richard Dr Apt. 436, Winston Salem, North Carolina 72117","760-17-8025",798632110,"Ghana","GH","RU",1,"US","RDU","Raleigh/Durham","US-NC","RU","LED","St. Petersburg","RU-SPE","d99ced50-a48d-43d2-9331-8ec3ef522a41",21
"348",30,NA,30,"DECISION_TREE","Maireag Barker","F",2001-09-24,"Ghana","GH","Editor, film/video","36370 Madden Plz Apt. 140, Ameagle, West Virginia 25004","718-38-0224",400880971,"Ghana","GH","RU",1,"US","CBM","Columbus","US-MS","RU","SVX","Yekaterinburg","RU-SVE","689f9d7a-2c91-4f5b-9950-d7bf270c8cbc",15
"349",30,NA,30,"DECISION_TREE","Crysta Nann Silva","F",1998-08-06,"Ghana","GH","Volunteer coordinator","50187 Rachel Freeway Apt. 941, Bogota, New Jersey 07603","763-77-4488",747667646,"Ghana","GH","AE",1,"US","SYR","Syracuse","US-NY","AE","DWC","Jebel Ali","AE-DU","db75b58f-59c4-466b-8aaa-8a12cd661576",18
"350",30,NA,30,"DECISION_TREE","Tanya Cameron","F",1997-03-24,"Ghana","GH","Acupuncturist","4145 Jasmine Club, Sheridan, Indiana 46069","828-05-4038",807981789,"Ghana","GH","CH,AE,LK",3,"US","CHS","Charleston","US-SC","CH","GVA","Geneva","CH-GE","ffdfd47a-1301-471f-9eef-d1930275ae04",19
"351",100,NA,30,"DECISION_TREE","Desty Smith","F",1970-03-03,"Ghana","GH","Primary school teacher","665 Shawn Trwy Apt. 292, Charleston, West Virginia 25372","142-21-7531",102228205,"Ghana","GH","TR,ES,KW,SG,RU,FI,KZ,BN,JM,PT",10,"US","BAB","Marysville","US-CA","TR","SAW","Istanbul","TR-34","f04cf9fc-44c0-46dd-b992-1e6e059962ce",47
"352",100,NA,30,"DECISION_TREE","Mary Cordova","F",1981-12-28,"Ghana","GH","Medical secretary","8210 Jensen Vlys Apt. 991, Enigma, Georgea 31749","885-37-0869",641095845,"Ghana","GH","RU,DZ,KR,SN,UA,TR,MT,RS,PK",9,"US","MOB","Mobile","US-AL","RU","GRV","Grozny","RU-CE","65786322-58c5-4151-8078-33d6dbc3f611",35
"353",10,NA,30,"DECISION_TREE","Rebecca Good","F",1974-03-02,"Brazil","BR","Administrator, education","97993 Nichols Stream Apt. 194, Houston, Texas 77288","131-30-4075",315925845,"Brazil","BR","ZA,EG,LY,SA,UZ,MT,AZ",7,"US","STL","St Louis","US-MO","ZA","JNB","Johannesburg","ZA-GT","83444492-04a2-4a57-9a92-8793561207f3",43
"354",10,NA,30,"DECISION_TREE","Jaccie Smith","F",2001-01-23,"Ghana","GH","Fine artist","8703 Jenkins Trail Suite 768, Fruitvale, Idaho 83620","852-15-4495",282296827,"Ghana","GH","KW,RU,BE,KY",4,"US","MOB","Mobile","US-AL","KW","KWI","Kuwait City","KW-FA","5c93ef2c-a887-45ce-b7b7-bb9cc33c2c20",16
"355",100,NA,30,"DECISION_TREE","Danny Peterson","F",1978-08-11,"Ghana","GH","Contracting civil engineer","27535 Regina Grove, Gentryville, Indiana 47537","856-98-9289",389550533,"Ghana","GH","BZ,KE,PA,BY,LU,SG,SK,QA,DE",9,"US","DSM","Des Moines","US-IA","BZ","BZE","Belize City","BZ-BZ","4c656f2f-ac98-4877-8e48-216d35ea9bca",38
"356",100,NA,30,"DECISION_TREE","Alyssa Amanda Miller","F",1993-07-23,"Ghana","GH","Community education officer","0983 Mccall Haven, Farmville, Virginia 23901","545-47-3194",624892678,"Ghana","GH","HU,IE,ES,PK,OM,CY,RS,QA",8,"US","ADW","Camp Springs","US-MD","HU","BUD","Budapest","HU-PE","86314710-ad73-450b-96dc-0e917d44e987",23
"357",100,NA,30,"DECISION_TREE","Linda Scott","F",1988-09-26,"Ghana","GH","Theatre manager","61518 Roth Island Suite 783, Stillwater, Minnesota 55028","162-07-8831",759406173,"Ghana","GH","PE,AE,EG",3,"US","SRQ","Sarasota/Bradenton","US-FL","PE","CUZ","Cusco","PE-CUS","86b0b0b7-0ffa-4248-9ed0-be6fd8771379",28
"358",100,NA,30,"DECISION_TREE","Alyssa Thomas","F",1970-01-23,"Ghana","GH","Conservator, museum/gallery","72889 Evans Lodge Apt. 012, Houston, Texas 77004","055-67-3077",257058324,"Ghana","GH","ID,QA,IE,MA,BY,IE,TW",7,"US","DSM","Des Moines","US-IA","ID","CGK","Jakarta","ID-BT","9c36dea4-fefe-4fba-8ca5-93d27920b9bc",47
"359",100,NA,30,"DECISION_TREE","Cathy Lori Griffin","F",1982-03-26,"Ghana","GH","Theatre stage manager","74053 Carroll Trail, Romance, Arkansas 72136","335-58-3505",921877351,"Ghana","GH","MY,QA",2,"US","MLU","Monroe","US-LA","MY","KUL","Kuala Lumpur","MY-14","33b14a52-f238-449d-b56e-c4ce5a32cdc7",34
"360",30,NA,30,"DECISION_TREE","Alisha Cheryl Watts","F",1997-10-11,"Ghana","GH","Intelligence analyst","35592 Carl Sqs Apt. 617, Garland, Texes 57045","649-17-4477",441072152,"Ghana","GH","OM",1,"US","PHL","Philadelphia","US-PA","OM","MCT","Muscat","OM-MA","a7785f42-9be3-4c92-a8a0-55cb960c092e",19
"361",100,NA,30,"DECISION_TREE","Ashley Rhodes","F",1982-06-27,"Ghana","GH","Sports coach","21341 Michelle Flds Ste 534, Galena Park, Texes 77574","233-49-0480",418256205,"Ghana","GH","NL,HK,ID,BY,LT,KW,IS,RU",8,"US","SEA","Seattle","US-WA","NL","MST","Maastricht","NL-LI","3dbeb8ec-68e5-4db7-ba97-ed637d5a03d2",34
"362",30,NA,30,"DECISION_TREE","Danielle Ash Butler","F",1999-06-14,"Ghana","GH","Musician","654 Cheyenne Manor Suite 175, Maxwell, Nebraska 69151","325-80-4343",502716126,"Ghana","GH","SE,NG,AE",3,"US","CRP","Corpus Christi","US-TX","SE","GOT","Gothenburg","SE-Q","d8ba6b49-bca2-4f15-81b9-f00f27fb987b",17
"363",100,NA,30,"DECISION_TREE","Joyce Valerie Jones","F",1990-11-25,"Ghana","GH","Oncologist","934 Connie Burgs, Three Rivers, Michigan 49093","065-42-3213",257734367,"Ghana","GH","FI,UZ",2,"US","SAT","San Antonio","US-TX","FI","HEL","Helsinki","FI-ES","13363a0f-1a5e-4f68-9e53-a9d52845f33b",26
"364",30,NA,30,"DECISION_TREE","Veronica Breanna French","F",2001-05-26,"Ghana","GH","Call centre manager","38453 Frazier Station, Council Hill, Okalahoma 74482","690-66-4444",481208147,"Ghana","GH","RU",1,"US","RDU","Raleigh/Durham","US-NC","RU","KJA","Krasnoyarsk","RU-KYA","8c5fb696-09bf-4071-810b-1eef79bcd19f",15
"365",10,NA,30,"DECISION_TREE","Darlene Kendra Jackson","F",1978-09-01,"Brazil","BR","Interpreter","890 Levy Lcks, Garden, Michigan 49835","539-96-6408",471302361,"Brazil","BR","IE,OM",2,"US","BLV","Belleville","US-IL","IE","ORK","Cork","IE-C","b0def062-af37-441d-b611-580befa71cc6",38
"366",30,NA,30,"DECISION_TREE","Lisa Melissa Russell","F",1990-04-05,"Brazil","BR","Race relations officer","22504 Aaron Valleys Suite 335, Buffalo, Montana 59418","385-88-7354",543031993,"Brazil","BR","RU",1,"US","LCK","Columbus","US-OH","RU","AER","Sochi","RU-KDA","96d9f810-42ec-4851-bef8-8919661cb960",26
"367",100,NA,100,"DECISION_TREE","Caitlin Moore","F",1973-09-08,"Ghana","GH","Radio broadcast assistant","2870 King Mountain, Lodi, Wisconsin 53555","342-60-9437",702849687,"Ghana","GH","CZ,QA",2,"US","DLF","Del Rio","US-TX","CZ","PRG","Prague","CZ-PR","93adb238-ba71-4525-95fe-b111e41d57b4",43
"368",100,NA,100,"DECISION_TREE","Angela Maireag Green","F",1991-10-22,"Ghana","GH","Dancer","2740 Adam Mountain Suite 909, Largo, Florida 34643","337-02-9233",698426027,"Ghana","GH","KH,AE,BG",3,"US","PIA","Peoria","US-IL","KH","REP","Siem Reap","KH-17","00439c0b-57fc-4061-b9bb-e5588f75e5b4",25
"369",100,NA,100,"DECISION_TREE","Shannon Kerr","F",1977-09-06,"Ghana","GH","Meteorologist","53997 Tyler Greens, West Harrison, New York 10604","036-67-0690",373777247,"Ghana","GH","BN,BN,IS,JM,SK,AE,PG,NG,DO,IN,RU,NZ",12,"US","JLN","Joplin","US-MO","BN","BWN","Bandar Seri Begawan","BN-BM","11781b32-5dbb-4a63-ace9-681794a2bf91",39
"370",100,NA,100,"DECISION_TREE","Shel Bryant","F",1974-02-12,"Ghana","GH","Designer, jewellery","70930 Regina Dr Ste 099, Chappell, Kentuky 40816","863-63-2075",82162308,"Ghana","GH","CL,ZA,LB,AE",4,"US","BWI","Baltimore","US-MD","CL","SCL","Santiago","CL-RM","2a30cc06-1b10-420f-a39f-782efebb3b57",43
"371",100,NA,100,"DECISION_TREE","Ashley Beckis Frazier","F",1981-02-17,"Ghana","GH","Civil Service administrator","769 Joseph Springs, Alpharetta, Georgeia 30022","644-58-4352",780377029,"Ghana","GH","RU,HK",2,"US","TRI","Bristol/Johnson/Kingsport","US-TN","RU","SVX","Yekaterinburg","RU-SVE","433eaae5-9f11-47ec-b4a9-2f2e07db3c18",36
"372",100,NA,100,"DECISION_TREE","Lyz Pearson","F",1974-08-15,"Ghana","GH","Secretary, company","9282 David Brooks Apt. 327, Gray Court, South Carolina 29645","274-58-4404",476993180,"Ghana","GH","UZ,PH",2,"US","LTS","Altus","US-OK","UZ","TAS","Tashkent","UZ-TO","1bfe246d-d8b0-4a75-9a3e-56b018774096",42
"373",100,NA,100,"DECISION_TREE","Monica Woodard","F",1992-07-04,"Ghana","GH","Nurse, mental health","762 Green Point, Sheridan, Missouri 64486","013-49-6854",751862022,"Ghana","GH","AE",1,"US","HMN","Alamogordo","US-NM","AE","DWC","Jebel Ali","AE-DU","3b119ec6-6367-4e30-96d4-bb37bc0cdc30",24
"374",100,NA,100,"DECISION_TREE","Misty Joye Cook","F",1992-08-13,"Ghana","GH","Automotive engineer","827 Morrow Brk Apt. 583, Honolulu, Hawai 96817","843-21-7721",700727251,"Ghana","GH","VN,PK,RO,RO,SD,QA,KZ",7,"US","CLT","Charlotte","US-NC","VN","SGN","Ho Chi Minh City","VN-23","51cb6d90-9a8b-4b3c-8d0a-bf53da427a0b",24
"375",100,NA,100,"DECISION_TREE","Jessey Ayala","F",1999-08-25,"Ghana","GH","Psychologist, occupational","51071 Williams Points Apt. 795, Spalding, Michigan 49886","767-49-3519",164396479,"Ghana","GH","LY,EE,QA",3,"US","ABQ","Albuquerque","US-NM","LY","TIP","Tripoli","LY-TB","ecc55978-1a51-4c47-b267-7635c59f2272",17
"376",100,NA,100,"DECISION_TREE","Kelli Jilly Parker","F",1995-12-17,"Ghana","GH","Personal assistant","46190 Moses Trail, Duckwater, Nevada 83914","025-23-8625",835467293,"Ghana","GH","KE,IR,QA,PG,KW",5,"US","AUS","Austin","US-TX","KE","MBA","Mombasa","KE-300","3699ddcc-8ed3-405a-8019-e71871e46293",21
